,RF,RF,SVM,SVM,XGB,XGB,KNN,KNN,ADA,ADA
,median,"(1st quartile, 3rd quartile)",median,"(1st quartile, 3rd quartile)",median,"(1st quartile, 3rd quartile)",median,"(1st quartile, 3rd quartile)",median,"(1st quartile, 3rd quartile)"
spec,0.3064516129032258,"(0.29838709677419356, 0.33064516129032256)",0.1532258064516129,"(0.1431451612903226, 0.1693548387096774)",0.3548387096774194,"(0.3387096774193548, 0.3709677419354839)",0.25806451612903225,"(0.24798387096774194, 0.26814516129032256)",0.3225806451612903,"(0.31451612903225806, 0.3467741935483871)"
sens,0.9704433497536946,"(0.9683908045977012, 0.9753694581280788)",0.9901477832512315,"(0.9880952380952381, 0.9917898193760263)",0.9507389162561576,"(0.9458128078817734, 0.9556650246305419)",0.9737274220032841,"(0.9704433497536946, 0.9770114942528736)",0.9507389162561576,"(0.9458128078817734, 0.9556650246305419)"
balacc,0.638857990359659,"(0.6327731871391493, 0.6497232374596112)",0.5716867948514223,"(0.5656201996927803, 0.5812840987340432)",0.6518949626569204,"(0.6430822607129615, 0.6608533290958207)",0.616233645849886,"(0.6100892526087187, 0.6214974310079984)",0.6391228348959161,"(0.6307984400656814, 0.6487019307166694)"
mcc,0.39391541771807637,"(0.374229975481678, 0.42018248039064154)",0.2961433703512155,"(0.2754783994523376, 0.32382002743607924)",0.37683305285567426,"(0.36085025012204003, 0.39687944242117523)",0.35174196751174386,"(0.33351974564392595, 0.3654260242968346)",0.35386666732043737,"(0.33205841686919163, 0.3724707715702157)"
ppv,0.8731453352705498,"(0.8712322792190144, 0.8764705882352941)",0.8516949152542372,"(0.8498243392255145, 0.8545710716932419)",0.878419452887538,"(0.8755690440060698, 0.8812785388127854)",0.865979381443299,"(0.8637351778656126, 0.8676470588235294)",0.8738738738738738,"(0.8713365764642231, 0.8772727272727273)"
npv,0.6851851851851852,"(0.6602830188679245, 0.7149595687331536)",0.7593103448275862,"(0.7142857142857143, 0.8)",0.5918272794662713,"(0.5704633204633205, 0.6178405572755419)",0.673469387755102,"(0.6415094339622641, 0.6956521739130435)",0.5771939328277356,"(0.5483354673495519, 0.5972222222222222)"
PRcurve,0.9213486620433166,"(0.9181802438455485, 0.9248661247799793)",0.884345233622349,"(0.8790598331605783, 0.8901862763989615)",0.8936535455892546,"(0.8896024503656084, 0.8972964855102302)",0.9235901590094301,"(0.9216776148087398, 0.9268784565924392)",0.8974088035619099,"(0.8938559784823525, 0.9052630079305527)"
ROCcurve,0.7400451559934318,"(0.729663250172149, 0.747747166163462)",0.696299459717146,"(0.6830125403887917, 0.7072309179511627)",0.708667699560358,"(0.7007058106891255, 0.7203523094443561)",0.6901815509296043,"(0.6805478309232481, 0.6978620424810638)",0.6988088616981832,"(0.685892724720589, 0.7113608374384237)"
